round,loss,acc,prec,rec,f1
3,4.982781692497786,0.9987536425236105,0.6526315789473685,0.62,0.6358974358974359
1,0.04943685120511763,0.9991573921286382,0.8170731707317073,0.67,0.7362637362637363
4,5.675695592770699,0.9986483165396903,0.6138613861386139,0.62,0.6169154228855721
2,4.1284464852796425,0.9990871748060246,0.7608695652173914,0.7,0.7291666666666666
5,5.361979486882957,0.9986132078783836,0.6019417475728155,0.62,0.6108374384236454
3,5.548265227671728,0.9986658708703438,0.603448275862069,0.7,0.6481481481481481
6,5.499663160237144,0.9987009795316505,0.6326530612244898,0.62,0.6262626262626263
4,5.508398864960426,0.998630762209037,0.5916666666666667,0.71,0.6454545454545455
7,2.111513326454419,0.9987360881929572,0.6296296296296297,0.68,0.6538461538461539
5,6.734922233146735,0.9985078818944634,0.5590551181102362,0.71,0.6255506607929515
8,5.024468050754827,0.9988063055155707,0.6739130434782609,0.62,0.6458333333333334
6,5.903054247376372,0.9986132078783836,0.5867768595041323,0.71,0.6425339366515838
7,5.335454509151591,0.9984552189025032,0.5461538461538461,0.71,0.6173913043478261
9,5.706931076637336,0.9983147842572763,0.5149253731343284,0.69,0.5897435897435898
8,5.827618187928295,0.9985956535477303,0.5819672131147541,0.71,0.6396396396396397
10,5.709887336596997,0.9979988063055155,0.4533333333333333,0.68,0.544
9,5.584481911871874,0.9985605448864234,0.5725806451612904,0.71,0.6339285714285714
11,5.407112854012372,0.9983674472492364,0.5275590551181102,0.67,0.5903083700440529
10,6.304718405103398,0.99849032756381,0.5546875,0.71,0.6228070175438597
12,5.506124612386024,0.9985956535477303,0.5909090909090909,0.65,0.6190476190476191
11,5.396929099648907,0.9983850015798897,0.5298507462686567,0.71,0.6068376068376068
13,5.435498794174925,0.9977003826844082,0.4,0.62,0.48627450980392156
12,5.728851035305585,0.9983850015798897,0.5298507462686567,0.71,0.6068376068376068
14,4.742586605203909,0.9983147842572763,0.5158730158730159,0.65,0.5752212389380531
13,6.403604999016689,0.9984376645718499,0.5419847328244275,0.71,0.6147186147186147
15,5.324553984831297,0.9983147842572763,0.5158730158730159,0.65,0.5752212389380531
14,5.702736562402974,0.9984376645718499,0.5419847328244275,0.71,0.6147186147186147
16,5.569953585824843,0.9985254362251167,0.5701754385964912,0.65,0.6074766355140186
15,5.416551239464754,0.9984727732331566,0.5503875968992248,0.71,0.6200873362445415
17,5.826368737520805,0.9984376645718499,0.544,0.68,0.6044444444444445
16,5.7350843272026895,0.9984727732331566,0.5503875968992248,0.71,0.6200873362445415
18,6.647202729137327,0.9980339149668224,0.4583333333333333,0.66,0.5409836065573771
19,4.678312934334042,0.9985605448864234,0.5803571428571429,0.65,0.6132075471698113
20,5.602754738336502,0.9986132078783836,0.5963302752293578,0.65,0.6220095693779905
21,5.458428529417913,0.998771196854264,0.65,0.65,0.65
22,5.386901122932047,0.9986132078783836,0.5963302752293578,0.65,0.6220095693779905
23,5.276406398859764,0.9986658708703438,0.6153846153846154,0.64,0.6274509803921569
24,4.873091356821773,0.9986483165396903,0.6116504854368932,0.63,0.6206896551724138
25,5.825624948600124,0.9987009795316505,0.625,0.65,0.6372549019607843
26,6.2725717909779455,0.9986483165396903,0.6116504854368932,0.63,0.6206896551724138
27,2.1647687852302555,0.9987185338623038,0.6363636363636364,0.63,0.6331658291457286
28,5.57404077248234,0.9986834252009971,0.6237623762376238,0.63,0.6268656716417911
29,2.0301832362380288,0.9986834252009971,0.6237623762376238,0.63,0.6268656716417911
30,2.0134752842316743,0.9986483165396903,0.6116504854368932,0.63,0.6206896551724138
31,2.278924504595942,0.9985605448864234,0.5833333333333334,0.63,0.6057692307692307
32,2.1261462961565525,0.9987887511849173,0.6631578947368421,0.63,0.6461538461538462
33,2.3242643193946373,0.9987536425236105,0.6526315789473685,0.62,0.6358974358974359
34,2.1585577073895585,0.9987887511849173,0.6631578947368421,0.63,0.6461538461538462
35,2.5645228548737937,0.9987185338623038,0.6391752577319587,0.62,0.6294416243654822
36,2.1939807026230427,0.9987360881929572,0.6428571428571429,0.63,0.6363636363636364
37,1.8392273658731448,0.9986834252009971,0.6237623762376238,0.63,0.6268656716417911
38,1.93213442092493,0.9987536425236105,0.6559139784946236,0.61,0.6321243523316062
39,2.110431049364327,0.9986132078783836,0.6019417475728155,0.62,0.6108374384236454
40,2.111470981446529,0.9987360881929572,0.648936170212766,0.61,0.6288659793814433
41,2.0519345878168034,0.9987360881929572,0.648936170212766,0.61,0.6288659793814433
42,2.2415714252458643,0.9986834252009971,0.6262626262626263,0.62,0.6231155778894473
43,1.8873065885107234,0.9987360881929572,0.6458333333333334,0.62,0.6326530612244898
44,1.916033561531385,0.998771196854264,0.6595744680851063,0.62,0.6391752577319587
45,2.1666942626122885,0.998630762209037,0.6057692307692307,0.63,0.6176470588235294
46,1.701681848884461,0.99849032756381,0.5636363636363636,0.62,0.5904761904761905
47,3.1533340395199128,0.9986658708703438,0.62,0.62,0.62
48,4.780835999762684,0.9987360881929572,0.6372549019607843,0.65,0.6435643564356436
49,4.517508935132569,0.998771196854264,0.65625,0.63,0.6428571428571429
50,5.016440864730842,0.9984025559105432,0.5348837209302325,0.69,0.6026200873362445
